
2024/12/29 (23:40:58) | ===> btop++ v.1.4.0
2024/12/29 (23:40:58) | WARNING: Got an invalid bool value for config name: theme_background

2025/02/07 (11:07:01) | ===> btop++ v.1.4.0
2025/02/07 (11:07:01) | WARNING: Failed to join _runner thread on exit!

2025/02/11 (15:03:11) | ===> btop++ v.1.4.0
2025/02/11 (15:03:11) | WARNING: Failed to join _runner thread on exit!

2025/02/16 (21:40:25) | ===> btop++ v.1.4.0
2025/02/16 (21:40:25) | WARNING: Failed to join _runner thread on exit!

2025/02/19 (19:07:34) | ===> btop++ v.1.4.0
2025/02/19 (19:07:34) | WARNING: Failed to join _runner thread on exit!

2025/03/07 (22:38:32) | ===> btop++ v.1.4.0
2025/03/07 (22:38:32) | WARNING: Failed to join _runner thread on exit!
